Bat ID,Bat Species,Alpha Code,Date Captured,Season,Site ID,Site Name,Sex,Age,Reproductive Condition,Wing Score,Forearm Length,Mass (prior resp),Fat,Lean,FreeWater,TotalWater,Before/After Respirometry,Suspect,Comments
PESU1,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,0,35.7,4.9,1.16,2.76,0.12,3.17,Before,1,Suspect; low signal
PESU10,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,0,33.9,5.4,1.11,3.02,0.69,0,Before,1,Suspect; low signal
PESU11,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,33.4,5.1,0.96,3.13,0,0.97,Before,1,Suspect; low signal
PESU12,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,0,35.1,6.2,1.57,3.66,0,0,Before,1,Suspect; low signal
PESU13,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,34.4,5.6,0.77,3.63,0,1.73,Before,1,Suspect; low signal
PESU14,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,0,33.3,5.3,1.49,2.65,0.02,0,Before,1,Suspect; low signal
PESU15,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,2,34.6,4.9,1.07,3.06,0.01,0,Before,1,Suspect; low signal
PESU16,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,2,34,4.9,1.1,2.66,0.29,2.91,Before,1,Suspect; low signal
PESU17,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,1,32.8,5.2,1.08,3.26,0.21,2.05,Before,1,Suspect; low signal
PESU18,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,0,34.2,5.3,0.48,4.1,0.22,3.65,Before,1,Suspect; low signal
PESU19,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,1,35,6,1.33,3.79,0,3.78,Before,1,Suspect; low signal
PESU2,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,2,34.7,4.8,1.31,2.47,0,0,Before,1,Suspect; low signal
PESU20,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,34.1,6.8,1.76,3.96,0,5.02,Before,1,Suspect; low signal
PESU21,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,1,32.9,5.7,1.48,3.41,0,3.87,Before,1,Suspect; low signal
PESU22,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,34.9,6.2,1.84,3.33,0.27,2.58,Before,1,Suspect; low signal
