ID,Date,Date1,Species,Capture Time,Sex,Age,Mass,Forearm,Fat,Lean,Free_Water,Total_Body_Water,Season,Tibia Length,Repro Status,State,County,Site Name,Comments
AG-MYLU-80,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,8.77,36.98,1.96,6.195,0.02,5.13,,,,NY,,Graphite,assumed adult
AG-MYLU-81,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,8.18,38.75,2.095,5.6,0.47,3.875,,,,NY,,Graphite,assumed adult
AG-MYLU-82,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,9.14,39.35,2.437,6.03,0.05,5.077,,,,NY,,Graphite,assumed adult
AG-MYLU-83,11.5.2015,5-Nov-15,Myotis lucifugus,,F,A,9.01,38.51,2.22,6.34,0.01,5.07,,,,NY,,Graphite,assumed adult
AG-MYLU-84,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,9.13,37.97,2.43,6.1,0.085,4.92,,,,NY,,Graphite,assumed adult
AG-MYLU-85,11.5.2015,5-Nov-15,Myotis lucifugus,,F,A,9.26,37.51,3.135,5.605,0.035,4.725,,,,NY,,Graphite,assumed adult
AG-MYLU-86,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,9.4,38.92,2.22,6.54,0,5.345,,,,NY,,Graphite,assumed adult
AG-MYLU-87,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,8.66,38.77,2.345,5.805,0.045,4.835,,,,NY,,Graphite,assumed adult
AG-MYLU-88,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,9.36,37.57,3.195,5.735,0.095,4.72,,,,NY,,Graphite,assumed adult
AG-MYLU-89,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,10.905,38.68,4.29,6.04,0.085,5.345,,,,NY,,Graphite,assumed adult
AG-MYLU-90,11.5.2015,5-Nov-15,Myotis lucifugus,,F,A,9.09,39.22,2.385,6.07,0.025,5.01,,,,NY,,Graphite,assumed adult
AG-MYLU-91,11.5.2015,5-Nov-15,Myotis lucifugus,,F,A,10.61,37.33,3.545,6.425,0.075,5.345,,,,NY,,Graphite,assumed adult
AG-MYLU-92,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,8.94,37.96,2.815,5.57,0.145,4.205,,,,NY,,Graphite,assumed adult
AG-MYLU-93,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,8.91,38,2.085,6.11,0.03,5.005,,,,NY,,Graphite,assumed adult
AG-MYLU-94,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,8.34,38,1.84,5.8,0.02,4.265,,,,NY,,Graphite,assumed adult
AG-MYLU-95,11.5.2015,5-Nov-15,Myotis lucifugus,,F,A,9.83,39.45,2.935,6.18,0.13,4.835,,,,NY,,Graphite,assumed adult
AG-MYLU-96,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,10.83,40.15,3.57,6.77,0.15,5.66,,,,NY,,Graphite,assumed adult
AG-MYLU-97,11.5.2015,5-Nov-15,Myotis lucifugus,,M,A,9.64,36.84,3.245,5.865,0.045,4.705,,,,NY,,Graphite,assumed adult
