Bat ID,Bat Species,Date Captured,Site ID,Reproductive Condition,Age,Sex,Forearm Length,Wing Score,Mass (prior resp),Before Fat,Before Lean,Before Free Water,Before Total Water,After Fat,After Lean,After Free Water,After Total Water,Comments
PESU1,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Male,35.7,0,4.9,1.16,2.76,0.12,3.17,,,,,Suspect; low signal
PESU2,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,34.7,2,4.8,1.31,2.47,0,0,,,,,Suspect; low signal
PESU3,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,33.6,1,5.9,1.17,4,0.41,4.08,,,,,Suspect; low signal
PESU4,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,34.3,0,5.5,1.06,3.52,0,4.09,,,,,Suspect; low signal
PESU5,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Male,33.3,1,5.1,1.04,3.36,0.3,1.46,,,,,Suspect; low signal
PESU6,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Male,33.8,2,4.9,1.54,2.58,0.42,2.66,,,,,Suspect; low signal
PESU7,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,33.4,1,5.2,1.48,2.69,0.22,2.01,,,,,Suspect; low signal
PESU8,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Male,34.1,2,5.2,1.01,3.54,0,2.92,,,,,Suspect; low signal
PESU9,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,33.9,0,5.4,1.14,3.38,0.91,0,,,,,Suspect; low signal
PESU10,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,33.9,0,5.4,1.11,3.02,0.69,0,,,,,Suspect; low signal
PESU11,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,33.4,1,5.1,0.96,3.13,0,0.97,,,,,Suspect; low signal
PESU12,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,35.1,0,6.2,1.57,3.66,0,0,,,,,Suspect; low signal
PESU13,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,34.4,1,5.6,0.77,3.63,0,1.73,,,,,Suspect; low signal
PESU14,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,33.3,0,5.3,1.49,2.65,0.02,0,,,,,Suspect; low signal
PESU15,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Male,34.6,2,4.9,1.07,3.06,0.01,0,,,,,Suspect; low signal
PESU16,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,34,2,4.9,1.1,2.66,0.29,2.91,,,,,Suspect; low signal
PESU17,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Male,32.8,1,5.2,1.08,3.26,0.21,2.05,,,,,Suspect; low signal
PESU18,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Male,34.2,0,5.3,0.48,4.1,0.22,3.65,,,,,Suspect; low signal
PESU19,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Male,35,1,6,1.33,3.79,0,3.78,,,,,Suspect; low signal
PESU20,Perimyotis subflavus,28/01/2017,SLL,Non-reproducing,Adult,Female,34.1,1,6.8,1.76,3.96,0,5.02,,,,,Suspect; low signal
COTO7,Corynorhinus townsendii,7/02/2017,DOX,Non-reproducing,Adult,Female,45.3,1,9.5,1.16,3.61,0,3.5,0.86,3.51,0.25,3.04,
COTO8,Corynorhinus townsendii,7/02/2017,DOX,Non-reproducing,Adult,Female,44.6,1,9.7,0.88,3.93,0.04,3.95,0.86,3.26,0,3.21,
COTO9,Corynorhinus townsendii,7/02/2017,DOX,Non-reproducing,Adult,Male,42.3,0,10.2,0.82,3.08,0.08,3,0.84,3.6,0,2.97,
COTO10,Corynorhinus townsendii,7/02/2017,DOX,Non-reproducing,Adult,Female,43.4,1,9.5,1.08,3.79,0.13,3.76,0.88,3.01,0,3.53,
COTO14,Corynorhinus townsendii,7/02/2017,DOX,Non-reproducing,Adult,Female,45.9,2,10,1.22,3.55,0.01,3.54,1.07,4.11,0.09,3.9,
COTO17,Corynorhinus townsendii,7/02/2017,DOX,Scrotal,Adult,Male,43.8,2,8.6,1,3.17,0.13,3.23,0.91,3.88,0.09,4.68,
COTO19,Corynorhinus townsendii,7/02/2017,DOX,Non-reproducing,Adult,Female,45.9,1,10.3,0.82,4.37,0.02,4.15,0.71,4.34,0.16,4.13,
COTO23,Corynorhinus townsendii,7/02/2017,DOX,Non-reproducing,Adult,Male,42.8,0,8.3,0.74,4.23,0,4.14,0.58,3.03,0.09,3.02,
COTO25,Corynorhinus townsendii,7/02/2017,DOX,Non-reproducing,Adult,Male,40.4,1,7.4,0.81,3.41,0.02,3.21,0.74,3.56,0,2.95,
MYCI1,Myotis ciliolabrum,7/10/2017,PMM,Non-reproducing,Adult,Male,33.4,0,5.5,1.205,2.675,0,2.28,,,,,mean = 14.66; stdev = 0.0826
MYCI2,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,33.1,0,5.6,1.67,3.37,0,0,,,,,mean = 14.66; stdev = 0.0826
MYCI3,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,31.8,0,5.7,1.37,3.02,0.16,2.61,,,,,mean = 14.66; stdev = 0.0826
MYCI4,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,31.6,0,5.7,1.43,3.26,0,3.16,,,,,mean = 14.66; stdev = 0.0826
MYCI5,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,31.3,0,5.7,1.47,3,0.04,2.58,,,,,mean = 14.66; stdev = 0.0826
MYCI6,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,31.7,0,5.6,1.74,3.15,0.21,2.75,,,,,mean = 14.66; stdev = 0.0826
MYCI7,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,31.1,0,5.7,1.6,2.49,0.17,2.68,,,,,mean = 14.66; stdev = 0.0826
MYCI8,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,33.8,0,5.5,0.85,2.18,0,2.25,,,,,mean = 14.66; stdev = 0.0826
MYCI9,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,33.9,0,5.8,1.63,3.34,0,2.98,,,,,mean = 14.66; stdev = 0.0826
MYCI10,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,32.5,0,6.2,1.83,2.74,0.08,2.24,,,,,mean = 14.66; stdev = 0.0826
MYCI11,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,31,0,5.8,1.88,3.29,0,2.87,,,,,mean = 14.66; stdev = 0.0826
MYCI12,Myotis ciliolabrum,7/10/2017,PMM,Non-reproducing,Adult,Female,34.2,0,5.9,1.7,3.59,0,3.12,,,,,mean = 14.66; stdev = 0.0826
MYCI13,Myotis ciliolabrum,7/10/2017,PMM,Non-reproducing,Adult,Female,34.9,0,6.2,1.36,1.83,0.09,1.73,,,,,mean = 14.66; stdev = 0.0826
MYCI14,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,31.2,0,5.7,1.5,2.44,0,2.25,,,,,mean = 14.66; stdev = 0.0826
MYCI15,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,34.1,0,6.1,1.64,3.61,0,3.55,,,,,mean = 14.66; stdev = 0.0826
MYCI16,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,33.2,1,6.1,2.04,3.39,0,2.25,,,,,mean = 14.66; stdev = 0.0826
MYCI17,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,32.9,1,5.7,1.46,2.69,0,2.34,,,,,mean = 14.66; stdev = 0.0826
MYCI18,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,33.7,1,6.1,1.64,3.74,0,3.02,,,,,mean = 14.66; stdev = 0.0826
MYCI19,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,32.7,1,6.1,1.82,3.81,0,3.13,,,,,mean = 14.66; stdev = 0.0826
MYCI20,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,32.7,1,6.1,1.78,3.56,0,3.46,,,,,mean = 14.66; stdev = 0.0826
MYCI21,Myotis ciliolabrum,7/10/2017,PMM,Non-reproducing,Adult,Female,34.9,1,5.8,1.28,3.8,0.12,1.96,,,,,mean = 14.66; stdev = 0.0826
MYCI22,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,32.4,1,5.2,1.21,2.45,0.02,1.91,,,,,mean = 14.66; stdev = 0.0826
MYCI23,Myotis ciliolabrum,7/10/2017,PMM,Scrotal,Adult,Male,32.7,1,5.6,1.8,3.39,0,3.11,,,,,mean = 14.66; stdev = 0.0826
MYVO57,Myotis volans,7/10/2017,PMM,Scrotal,Adult,Male,38.2,0,10.3,2.32,6.86,0.03,6.01,,,,,mean = 14.66; stdev = 0.0826
COTO26,Corynorhinus townsendii,7/02/2017,DOX,Non-reproducing,Adult,Female,45.1,0,9.5,1.1,3.8,0.02,3.7,0.96,4.81,0.16,4.54,
COTO28,Corynorhinus townsendii,7/02/2017,DOX,Scrotal,Adult,Male,42,2,7.9,0.7,2.64,0.01,2.68,0.45,3.64,0.21,3.4,
COTO29,Corynorhinus townsendii,7/02/2017,DOX,Non-reproducing,Adult,Female,45,0,11.3,1.6,3.6,0.04,3.42,1.25,4.37,0.12,4.25,
COTO31,Corynorhinus townsendii,14/02/2017,ODW,Scrotal,Adult,Male,43.7,0,9.5,1.07,3.41,0,3.4,0.68,2.52,0.17,2.29,"On datasheets, this bat is labeled as COTO 1 but was changed for the database to maintain labeling scheme"
EPFU1,Eptesicus fuscus,14/02/2017,ODW,Non-reproducing,Adult,Male,45.3,1,10,1.03,5.36,0.06,5.52,0.44,4.04,0.18,4.01,
EPFU2,Eptesicus fuscus,14/02/2017,ODW,Non-reproducing,Adult,Male,47,1,14.9,1.25,4.68,0.11,3.89,0.76,3.8,0,3.83,
EPFU4,Eptesicus fuscus,14/02/2017,ODW,Non-reproducing,Adult,Male,47.8,1,14.7,1.04,2.27,0,2.06,0.85,3.89,0.02,3.71,
EPFU5,Eptesicus fuscus,14/02/2017,ODW,Non-reproducing,Adult,Male,47.8,1,15.3,1.49,4.25,0.2,4.31,1.27,6.42,0.06,7.04,
MYVE1,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,45.8,1,13.1,1.69,7.57,0,7.44,1.03,4.09,0,3.61,
MYVE2,Myotis velifer,25/02/2017,SLL,Reproducing,Adult,Male,45.9,1,12.5,1.14,6.11,0.02,5.91,,,,,
MYVE3,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Male,46.5,1,12.6,1.67,5.77,0,4.09,1.48,5.94,0.01,5.21,
MYVE4,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,44.4,1,12.1,1.29,7.42,0.06,7.45,,,,,
MYVE5,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,47.3,1,10.7,0.78,4.34,0,4.12,,,,,
MYVE6,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,44,1,12.6,1.36,4.56,0,4.41,,,,,
MYVE7,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,45.5,1,12.1,1.42,6.19,0.06,5.79,0.92,3.96,0.1,3.39,
MYVE8,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,44,1,11.7,1.04,5.32,0,5.96,,,,,
MYVE9,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,44.5,1,12.6,1.18,3.48,0,5.79,,,,,
MYVE10,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Male,45.1,1,12.7,1.61,7.16,0,6.14,1.3,5.14,0,4.93,
MYVE11,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Male,45.5,1,11.1,0.74,5.64,0,5.11,,,,,
MYVE12,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Male,46.3,2,13.8,1.72,5.22,0.06,7.26,1.48,4.63,0,3.72,
MYVE13,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Male,45,1,11,1.38,4.75,0.06,5.26,,,,,
MYTH1,Myotis thysanodes,18/09/2017,LCC,Non-reproducing,Adult,Male,40.4,1,9.3,2.25,5.7,0,4.86,,,,,mean= 14.6; stdev = 0.11
MYTH10,Myotis thysanodes,27/09/2017,LCC,Scrotal,Adult,Male,41.5,0,8.6,2.07,5.45,0.02,4.92,,,,,mean = 14.65; stdev = 0.16
MYTH11,Myotis thysanodes,27/09/2017,LCC,Scrotal,Adult,Male,40.8,1,9.7,2.74,4.83,0,4.2,,,,,mean = 14.65; stdev = 0.16
MYTH12,Myotis thysanodes,27/09/2017,LCC,Scrotal,Adult,Male,41.4,1,9,2.46,5.71,0.03,4.59,,,,,mean = 14.65; stdev = 0.16
MYTH13,Myotis thysanodes,27/09/2017,LCC,Non-reproducing,Adult,Male,41.5,1,10.9,3.37,5.39,0,4.47,,,,,mean = 14.65; stdev = 0.16
MYTH14,Myotis thysanodes,27/09/2017,LCC,Non-reproducing,Adult,Male,42.9,1,10.4,2.86,6.46,0.08,5.87,,,,,mean = 14.65; stdev = 0.16
MYTH16,Myotis thysanodes,28/09/2017,LCC,Scrotal,Adult,Male,41.5,1,10.6,2.95,4.5,0.27,1.9,,,,,mean = 14.58; stdev = 0.11
