siteName,roughLocation,yearMonitored,zone,northing,easting,lat,long,elevation,description,nWinterFlights,witnerSpecies,firstSpring,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,lastFall,40kMyo,25K,30K,35K,40K,45K,50K,LowF,HighF,LACI,LANO,EPFU,TABR,MYTH,COTO,MYEV,MYLU,LABO,MYSE,MYCI,MYCA,MYYU,MYVO,EPFULANO,COTOMYTH,ANPAEPFU,COTOMYEV,LABOMYLU,MYYUMYCA,bat,LDE,nMaxSpring,LDH,nMaxEmerging,detectorType
Goldstream Nature House 2014,Victoria,No Data Listed,10 U,459364,5370308,,,2,"building,maternity roost",No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Goldstream Nature House2013,,2013,10 U,459364,5370308,,,,,5,,24/03/2014,-,-,-,-,2/04/2014,1/04/2014,2/04/2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24/03/2014,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31/03/2014,31,No Fall Bats Recorded,-,
Prince Rupert Morseby 2015,Prince Rupert,2015,09 U,412892,6018239,,,15,,70,"40K,45K,",7/04/2016,-,-,-,-,27/04/2016,27/04/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7/04/2016,-,-,-,-,-,-,7/12/2015,-,4/10/2015,-,24/09/2015,7/12/2015,7/12/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14/10/2015,-,-,-,-,-,-,26/04/2016,577,10/09/2015,815,SM2BAT - plus (ZC model)
Little Qualicum 2015,Qualicum Beach,2015,10 U,390430,5467885,,,19,,2767,"25K,45K,",10/03/2016,-,10/03/2016,-,-,-,12/03/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8/03/2016,3809,No Fall Bats Recorded,-,
Stanley Park winter 2015,Vancouver,2015,10 U,490251,5460765,,,23,,109,"40K,45K,LowF,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29/12/2015,-,-,-,-,23/10/2015,9/10/2015,23/10/2015,29/09/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29/12/2015,-,-,-,-,-,-,No Spring Bats Recorded,-,21/09/2015,191,SM2BAT - 192 full spectrum model
Lava Beds 2015,New Aiyansh,2015,09 U,491449,6118815,,,45,,0,,21/04/2016,-,22/04/2016,21/04/2016,22/04/2016,24/04/2016,24/04/2016,25/04/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Fall Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29/03/2016,37,No Fall Bats Recorded,-,SM2BAT - plus (ZC model)
Des Belton House 2015,New Aiyansh,2015,09 U,493489,6117913,55.20773,-129.10231,55,,53,"25K,45K,LANO,",25/03/2016,-,25/03/2016,-,-,-,25/03/2016,-,-,-,-,25/03/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13/12/2015,-,13/12/2015,25/10/2015,25/10/2015,30/09/2015,9/12/2015,14/10/2015,-,-,4/09/2015,13/12/2015,15/09/2015,-,-,9/09/2015,7/10/2015,11/09/2015,-,12/10/2015,-,-,13/10/2015,10/10/2015,12/09/2015,-,-,-,-,-,-,22/03/2016,95,12/09/2015,2985,SM2BAT - 192 full spectrum model
Nass belton House 2014,,No Data Listed,09 U,493489,6117913,,,,,No Data Listed,No Data Listed,No Spring Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Fall Activity,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,No Data Listed,
Lakelse 2015,Terrace,2015,09 U,530964,6029385,,,72,,3,"25K,",26/04/2016,-,28/04/2016,-,-,28/04/2016,-,26/04/2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3/11/2015,-,3/11/2015,-,16/09/2015,25/10/2015,-,10/10/2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8/04/2016,65,3/09/2015,56,SM2BAT - plus (ZC model)
Hali Haliburton 2013,Victoria,2013,10 U,471858,5373337,,,98,,66,"45K,EPFULANO,",No Spring Activity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12/11/2013,-,4/10/2013,-,-,28/10/2013,12/11/2013,-,-,-,13/10/2013,23/10/2013,18/09/2013,-,-,-,-,-,-,-,-,-,-,-,12/11/2013,-,-,-,-,-,-,No Spring Bats Recorded,-,30/08/2013,172,
