siteName,roughLocation,yearMonitored,zone,northing,easting,lat,long,elevation,n_winter_rec,spec_detected,firstSpring,lastFall,LDH,LDE
Goldstream Nature House,Victoria,2014,10 U,459364,5370308,,,2,No bats detected at this location,No bats detected at this location,No bats detected at this location,No bats detected at this location,No bats detected at this location,No bats detected at this location
Goldstream Nature House,,2013,10 U,459364,5370308,,,,5,,22/03/2014,-,-,22/03/2014
Prince Rupert Morseby,Prince Rupert,2015,09 U,412892,6018239,,,15,70,"40K,45K,",01/03/2016,16/10/2015,,01/03/2016
Little Qualicum,Qualicum Beach,2015,10 U,390430,5467885,,,19,2767,"25K,45K,",01/03/2016,-,,01/03/2016
Stanley Park winter,Vancouver,2015,10 U,490251,5460765,,,23,109,"40K,45K,LowF,EPFULANO,",-,02/12/2015,02/12/2015,-
Lava Beds,New Aiyansh,2015,09 U,491449,6118815,,,45,615,,25/03/2016,21/11/2015,21/11/2015,25/03/2016
Des Belton House,New Aiyansh,2015,09 U,493489,6117913,55.20773,-129.10231,55,53,"25K,45K,LANO,",01/03/2016,28/10/2015,28/10/2015,01/03/2016
Nass belton House,,2014,09 U,493489,6117913,,,,No bats detected at this location,No bats detected at this location,No bats detected at this location,No bats detected at this location,No bats detected at this location,No bats detected at this location
Lakelse,Terrace,2015,09 U,530964,6029385,,,72,3,"25K,",27/03/2016,29/09/2015,03/11/2015,05/03/2016
Hali Haliburton,Victoria,2013,10 U,471858,5373337,,,98,66,"45K,EPFULANO,",-,12/11/2013,12/11/2013,-
Mary Hill,Victoria,2012,10 U ,459353,5354800,,,110,146,"40K,45K,50K,EPFU,COTOMYTH,",28/03/2013,-,-,28/03/2013
Telegraph Creek 2015,Telegraph Creek,2015,09 V,371576,6419694,,,200,0,,Insufficient Number of Recordings,04/10/2015,04/10/2015,20/03/2016
Cameron LK near Cathedral MD12,Port Alberni-Qualicum Beach,2012,10 U ,384185,5461117,,,214,14,"40K,50K,HighF,",02/03/2013,-,-,02/03/2013
peachland roost,Peachland,2012,11 U,303164,5517454,,,350,5,"MYYUMYCA,",13/03/2013,-,-,13/03/2013
Peachland roost,,2013,11 U,303164,5517454,,,,0,,19/04/2014,Insufficient Number of Recordings,23/10/2013,19/04/2014
Throne (Haynes Lease),Osooyos,2011,11 U,316195,5441087,49.09515,-119.51788,359,282,"50K,LowF,HighF,EPFULANO,",01/03/2012,17/12/2011,17/12/2011,01/03/2012
Throne (Haynes Lease),,2013,11 U,316195,5441087,49.09515,-119.51788,,0,,-,25/10/2013,25/10/2013,-
Throne (Haynes Lease),,2012,11 U,316195,5441087,49.09515,-119.51788,,69,"50K,",08/03/2013,26/10/2012,26/10/2012,08/03/2013
Darcus (Skaha Cave),Penticton,2012,11 U,315018,5463903,,,393,0,,27/03/2013,-,-,27/03/2013
Darcus (Skaha Cave),,2013,11 U,315018,5463903,,,,68,"LowF,EPFULANO,",04/03/2014,27/10/2013,27/10/2013,04/03/2014
Churn Creek,Williams Lake,2015,10 U,549176,5708303,,,394,4,"25K,COTO,",27/03/2016,21/10/2015,21/10/2015,27/03/2016
Pellucidar Cave,near Port McNeill,2014,9 U ,647976,5587007,,,473,No bats detected at this location,No bats detected at this location,No bats detected at this location,No bats detected at this location,No bats detected at this location,No bats detected at this location
Liard Hot Springs,Liard Hot Springs,2015,09 V,664251,6591873,,,480,0,,24/04/2016,25/09/2015,25/09/2015,24/04/2016
Fairview Grasslands mine,Oliver,2012,11 U,311132,5450886,,,493,0,,02/03/2013,-,-,02/03/2013
molly hughes-Galena TrlNewDen13,New Denver,2013,11 U ,472734,5539178,,,550,4,"40K,",Insufficient Number of Recordings,-,-,Insufficient Number of Recordings
Fraser Rock,Williams Lake,2015,10 U,548582,5706093,,,560,9,"25K,40K,",29/03/2016,22/10/2015,22/10/2015,29/03/2016
Sirdar Imasco mine,Sirdar,2013,11 U ,526012,5456359,,,580,14,"40K,50K,",-,Insufficient Number of Recordings,Insufficient Number of Recordings,-
Tlingit office in Atlin,Atlin,2015,08 V,573213,6603951,,,680,0,,02/05/2016,21/09/2015,06/10/2015,02/05/2016
Warm Springs Homestead,Atlin,2015,08 V,580550,6586135,,,700,0,,06/05/2016,22/09/2015,29/10/2015,15/05/2016
Warm Springs Homestead,Atlin,2016,08 V,580550,6586135,,,700,0,,-,18/09/2016,23/09/2016,-
Fraser Lake,Fort Fraser,2015,10 U,395376,5971283,,,700,0,,30/03/2016,25/09/2015,25/09/2015,30/03/2016
Dease Lake,Dease Lake,2015,09 V,440850,6477429,,,800,1,"25K,",-,09/10/2015,09/10/2015,-
"Bear Flats, Peace River",Fort St John,2015,10 V,611707,6239032,,,800,4,"25K,",-,06/10/2015,06/10/2015,-
Muncho Lake Lodge,Muncho Lake,2015,10 V,340750,6544388,,,822,0,,19/04/2016,-,-,19/04/2016
Premiere Lake,Skookumchuck,2012,11 U ,596620,5533860,,,891,No bats detected at this location,No bats detected at this location,No bats detected at this location,No bats detected at this location,No bats detected at this location,No bats detected at this location
Bluff Lake,Williams Lake,2015,10 U,381167,5734313,,,916,3,"40K,",21/03/2016,15/10/2015,15/10/2015,21/03/2016
Vanderhoof Butte,"near Vanderhoof, Kenny Dam",2014,10 U ,381474,5938245,,,1100,0,,Insufficient Number of Recordings,Insufficient Number of Recordings,18/10/2014,11/03/2015
Whiteswan,Fairmont ,2012,11 U ,609188,5557290,50.15776,-115.47141,1145,0,,01/04/2013,-,-,01/04/2013
Jersey North,Salmo,2015,11 U  ,483479,5438701,,,1275,3,"30K,50K,",04/03/2016,-,-,04/03/2016
Jersey WDKO,,2015,11 U  ,483479,5438701,,,,85,"30K,35K,40K,45K,50K,",02/03/2016,Insufficient Number of Recordings,,02/03/2016
Jersey WDKO2,,2015,11 U  ,483479,5438701,,,,23,"30K,35K,45K,50K,",29/03/2016,-,-,29/03/2016
Jersey WDKO,,2015,11 U  ,483479,5438701,,,,199,"25K,30K,35K,45K,50K,EPFULANO,",,-,-,18/11/2015
Jersey South,,2015,11 U  ,483479,5438701,,,,7,"35K,40K,45K,50K,",Insufficient Number of Recordings,-,-,-
Dividend Mine Vicinity,Okanagan,2011,,,,49.01159,-119.49267,,216,"40K,50K,LowF,HighF,EPFULANO,",11/03/2013,01/12/2012,01/12/2012,11/03/2013
Frederick Mine DB,Kamloops (ask Doug Burles),2011,,,,50.7575,-120.65658,,20,"45K,EPFULANO,COTOMYTH,",-,Insufficient Number of Recordings,04/12/2011,-
