Species,band colour (left FA),band colour (right FA),band number,Genetic sample number,DS I.D.,Bat_ID,recap?,Capture_date,Date banded,Year banded,Capture time,Location,spec. location,"if recap, where originally captured?",Roost:,foraging? ,Sex,Age,repro cond.,description of male epididymes (ratio of flesh colour [percent of stored sperm left]),weight,dig(0)/spr(1),forearm 1,forearm 2,forearm 3,forearm avg,toothclass,Epiphyseal Gap,Parasites? ,parasites collected?,parasite comments:,ticks? SEE SEPARATE FILE FOR MORE ACCURATE 2002 TICK DATA,how many ticks,other Eps?,DNA taken?,Hair sampled?,Fecal sample?,Transmitter #/freq,Trans.Mass,Trans+Bat mass,Release Location:,date transm removed,Data Card?,Ear Length,Tragus Length,Thumb,Foot,Keel,WNS swab,Captured flying into or out of cave,Photo,Comments:,,,,
MYLU,,,,,,100910-01,,10-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,no,F,ADULT,Post-lactating,n/a,8.4,1,37.4,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,deficated,,,,
MYLU,,,,,,100910-02,,10-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,no,M,ADULT,Stored sperm, 1/2,10,1,40.1,,,,,,,,,,,,n,,,,,,,,,12,7,,,,,,,,,,,
MYLU,,,,,,100910-03,,10-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,no,F,ADULT,Post-lactating,n/a,9.2,1,39.5,,,,,,,,,,,,n,,,,,,,,,12,7,,,,,,,deficated,,,,
MYLU,,,,,,100910-04,,10-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,no,M,ADULT,Stored sperm, 7/8,10.4,1,37.5,,,,,,,,,,,,n,,collected,,,,,,,12.5,7,,,,,,,deficated,,,,
EPFU,,,,,,100910-CC3,,10-Sep-10,,,carcass collected floating in cave stream,WalkIn Cave,,,carcass in cave,,F,ADULT,Post-lactating,,NA,,47.9,,,,4,,,,,,,,y,,,,,,,,,,,,,,,,863-882,carcass very fresh - eyes fine and blood came out of nose and mouth when handled.,,,,
Myotis,,,,,,100910-CC1,,10-Sep-10,,,carcass collected from cave floor,WalkIn Cave,,,carcass in cave,,?,ADULT,?,,NA,,37.95,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,carcass quite rotted: ears rotted off and small body with very small feet (MYLU or MYSE?),,,,
EPFU likely,,,,,,100910-CC3,,10-Sep-10,,,carcass collected from cave floor,WalkIn Cave,,,carcass in cave,,?,?,?,,NA,,44.6,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,carcass quite rotten: FA had no skin so just bone length measured.  Found dead in rock rubble at entrance.,,,,
MYLU,,,,,,100911-01,,11-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,,F,ADULT,Post-lactating,,9.3,0,39.37,,,,,,,,,,,,,,,,,,,,,12,7,,,,,,,,,,,
MYLU,,,,,,100911-02,,11-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,,M,YOY,nonreproductive,,9.7,0,39.55,,,,,,,,,,,,,,,,,,,,,13,7,,,,,,,,,,,
MYLU,,,,,,100911-03,,11-Sep-10,,,daytime collection,WalkIn Cave,,,roosting on wall of cave,,M,ADULT,Stored sperm, 1/2,9.8,0,36.29,,,,,,,,,,,,y,,,,,,,,,12,7,,,,,,,cluster of two with -04,,,,
