lat,long,Year,Date,Animal ID,Full Band ID,Newly Banded or Recapture,Location,Species,Sex,Age Class,Reproductive Status,Forearm 1 (mm),Forearm 2 (mm),Forearm 3 (mm),Final (Mean) Forearm (mm),Mass,Body Condition Index,Observers,,,
60.2647,-133.3349,2004,9-Sep-2004,04-0097,YTG 201,new band,Salmo Lake,Myotis lucifugus,female,adult,non-reproductive,n/a,n/a,n/a,37.0,11.9,3.1,TS Jung; BG Slough,,,
60.2647,-133.3349,2004,9-Sep-2004,04-0098,YTG 202,new band,Salmo Lake,Myotis lucifugus,female,juvenile,n/a,n/a,n/a,n/a,39.0,12.3,3.2,TS Jung; BG Slough,,,
60.2647,-133.3349,2004,9-Sep-2004,04-0099,YTG 203,new band,Salmo Lake,Myotis lucifugus,female,juvenile,n/a,n/a,n/a,n/a,39.0,11.5,3.4,TS Jung; BG Slough,,,
60.2647,-133.3349,2004,9-Sep-2004,04-0100,YTG 204,new band,Salmo Lake,Myotis lucifugus,female,juvenile,n/a,n/a,n/a,n/a,38.0,9.9,3.8,TS Jung; BG Slough,,,
60.2647,-133.3349,2004,9-Sep-2004,04-0101,YTG 205,new band,Salmo Lake,Myotis lucifugus,female,juvenile,n/a,n/a,n/a,n/a,38.0,11.1,3.4,TS Jung; BG Slough,,,
60.3626,-134.589,2005,19-Sep-2005,05-0091,YT 089,recapture,Wolf Creek,Myotis lucifugus,male,juvenile,n/a,n/a,n/a,n/a,39.0,9.9,3.9,BG Slough,,,
60.3626,-134.589,2007,12-Sep-2007,07-0182,BS 314,new band,Wolf Creek,Myotis lucifugus,male,juvenile,n/a,n/a,n/a,n/a,38.0,11.0,3.5,BG Slough,,,
60.3626,-134.589,2010,10-Sep-2010,07-0182,BS 314,recapture,Wolf Creek,Myotis lucifugus,male,adult,scrotal,n/a,n/a,n/a,39.0,9.5,4.1,BS Slough,,,
60.3626,-134.589,2011,4-Sep-2011,11-0062,BS 0664,new band,Wolf Creek,Myotis lucifugus,male,juvenile,n/a,38,38,38.5,38.2,6.7,5.7,BS Slough,,,
60.3626,-134.589,2011,4-Sep-2011,11-0063,BS 0665,new band,Wolf Creek,Myotis lucifugus,male,juvenile,n/a,39.5,40,39.5,40.0,7,5.7,BS Slough,,,
60.3626,-134.589,2011,4-Sep-2011,11-0064,BS 0666,new band,Wolf Creek,Myotis lucifugus,male,juvenile,n/a,39.5,38.5,38.5,38.5,8.3,4.6,BS Slough,,,
