ID,Lat,Long,Start,End,winter.duration,Ref
1,53.12,-99.19,15/09/2018,15/05/2019,242,Czenze & Willis 2015
2,51.44,-97.38,13/09/2018,15/05/2019,244,Norwuay & Willis 2014
3,53.12,-99.19,15/09/2018,15/05/2019,242,Jonasson and Willis 2012
4,59.752,-112.202,15/10/2018,15/05/2019,212,"Reimer, Lausen & Barkley 2014"
5,44.93,-110.67,15/10/2018,10/4/2019,177,Johnson et al 2016
6,38.83,-92.29,NA,NA,83,"Brack and twente, 1985"
7,36.61,-83.66,4/12/2018,1/4/2019,118,Hayman and Cryan 2017
8,58.3,-134.4,24/10/2018,31/03/2019,158,Karen Blejwas
9,61,-135,30/09/2018,18/04/2019,200,Tom Jung
10,59.6,-133.6,15/10/2018,24/03/2019,160,Cori Lausen
11,58.9,-125.8,21/10/2018,15/04/2019,176,Cori Lausen
12,59.4,-126.1,7/10/2018,7/4/2019,182,Cori Lausen
13,60,-111.88,15/10/2018,15/04/2019,182,Sharon Irwin and Cori
14,53.8,-116.5,15/09/2018,15/05/2019,242,Cori Lausen
15,43.24,-73.5104,10/10/2018,15/05/2019,217,Davis 1965
16,60.96,-117.33,5/10/2018,20/04/2019,197,Joanna Wilson
17,47.12429,-111.006973,NA,NA,180,SERDP
18,51.7471041,-124.7213615,15/10/2015,21/03/2016,158,WCS Recorder
19,51.52369935,-122.2911704,21/10/2015,27/03/2016,158,WCS Recorder
20,49.1192,-116.62949,6/11/2012,27/04/2013,172,WCS Recorder
21,55.20773379,-129.1023137,28/10/2015,1/3/2016,125,WCS Recorder
22,49.01159,-119.49267,1/12/2012,11/3/2013,100,WCS Recorder
23,53.87944744,-124.5915733,25/09/2015,30/03/2016,187,WCS Recorder
24,51.50388058,-122.3000363,22/10/2015,29/03/2016,159,WCS Recorder
25,49.01814,-118.33886,13/12/2010,4/3/2011,81,WCS Recorder
26,55.23719938,-127.672231,11/10/2014,8/4/2015,179,WCS Recorder
27,54.29618,-129.3941,4/10/2014,16/03/2015,163,WCS Recorder
28,49.90903,-116.89984,20/11/2013,27/03/2014,127,WCS Recorder
29,49.30385,-116.66476,28/12/2014,4/3/2015,66,WCS Recorder
30,54.41125948,-128.5229079,3/11/2015,5/3/2016,123,WCS Recorder
31,55.21580814,-129.1343975,21/11/2015,25/03/2016,125,WCS Recorder
32,59.43326294,-126.1040377,25/09/2015,24/04/2016,212,WCS Recorder
33,50.52033292,-121.7238306,26/11/2014,17/04/2015,142,WCS Recorder
34,50.82596,-121.87617,4/11/2014,18/04/2015,165,WCS Recorder
35,50.62685318,-121.8618553,9/12/2014,2/3/2015,83,WCS Recorder
36,50.28064,-115.85341,31/10/2013,25/03/2014,145,WCS Recorder
37,50.28064,-115.85341,21/09/2012,26/03/2013,186,WCS Recorder
38,55.06196,-129.47214,14/10/2014,15/03/2015,152,WCS Recorder
39,49.30214,-116.76106,17/11/2012,14/03/2013,117,WCS Recorder
40,49.01531,-118.34883,17/12/2011,14/03/2012,88,WCS Recorder
41,49.77726832,-119.7340948,23/10/2013,19/04/2014,178,WCS Recorder
42,49.08214,-116.58114,17/11/2012,27/04/2013,161,WCS Recorder
43,49.44906,-119.56121,15/06/2012,31/08/2012,77.5,WCS Recorder
44,49.43707,-119.56755,16/11/2012,23/03/2013,127,WCS Recorder
45,49.91080282,-126.6492059,24/10/2014,1/3/2015,128,WCS Recorder
46,57.90053426,-131.1668763,4/10/2015,20/03/2016,168,WCS Recorder
47,49.7604739,-124.5684308,3/12/2015,4/3/2016,92,WCS Recorder
48,59.5674183,-133.7042381,6/10/2015,2/5/2016,209,WCS Recorder
49,54.07445,-131.79941,30/12/2014,4/3/2015,64,WCS Recorder
50,53.57964773,-124.7902889,18/10/2014,11/3/2015,144,WCS Recorder
51,49.30116,-119.54312,30/12/2013,4/3/2014,64,WCS Recorder
