"ID","lat","long","Start","End","winter.duration","cells","NA_dem","NA_northing","NA_nFrostyDays","NA_nonGrowingDays","NA_nDaysFreeze","NA_OG1k"
"L1",53.12,-99.19,2018-09-15,2019-05-15,242,23178554,220.133590698242,53.1208343505859,217,310.973541259766,72.9755630493164,153.685104370117
"L2",51.44,-97.38,2018-09-13,2019-05-15,244,26094843,217.684036254883,51.4375,228.442337036133,313.296051025391,72.8539962768555,146.009246826172
"L3",53.12,-99.19,2018-09-15,2019-05-15,242,23178554,220.133590698242,53.1208343505859,217,310.973541259766,72.9755630493164,153.685104370117
"L4",59.752,-112.202,2018-10-15,2019-05-15,212,11685936,259.784729003906,59.7541656494141,227,323.775726318359,94.1620712280273,180.738265991211
"L5",44.93,-110.67,2018-10-15,2019-04-10,177,37367764,2229.63012695312,44.9291648864746,242.455718994141,327.101013183594,40.9869728088379,144.733749389648
"L6",38.83,-92.29,NA,NA,83,47937122,223.032531738281,38.8291664123535,145,239.834671020508,7.21772909164429,50.4108619689941
"L7",36.61,-83.66,2018-12-04,2019-04-01,118,51778133,724.122009277344,36.6124992370605,143,248.185165405273,4.23378610610962,30.8209743499756
"L8",58.3,-134.4,2018-10-24,2019-03-31,158,14209573,365,58.2958335876465,175,333.234527587891,20.687292098999,121.092254638672
"L9",61,-135,2018-09-30,2019-04-18,200,9532237,790.083435058594,60.9958343505859,240.843276977539,332.245758056641,72.916259765625,211.08235168457
"L10",59.6,-133.6,2018-10-15,2019-03-24,160,11943217,1007.06988525391,59.6041679382324,243.323760986328,342.688507080078,59.3573417663574,195.111907958984
"L11",58.9,-125.8,2018-10-21,2019-04-15,176,13171213,1146.53271484375,58.8958320617676,247.996200561523,340.402282714844,64.6996002197266,198.544174194336
"L12",59.4,-126.1,2018-10-07,2019-04-07,182,12305017,528.159851074219,59.3958320617676,229.456146240234,324.461364746094,78.5880355834961,198.821502685547
"L13",60,-111.88,2018-10-15,2019-04-15,182,11267331,205.214202880859,59.9958343505859,228,322.916290283203,96.7422027587891,184.31916809082
"L14",53.8,-116.5,2018-09-15,2019-05-15,242,22007161,1090.74670410156,53.7958335876465,218,324.669586181641,39.7396430969238,142.879302978516
"L15",43.24,-73.5104,2018-10-10,2019-05-15,217,40302731,113.560737609863,43.2374992370605,185.70622253418,277.517700195312,20.3696517944336,102.569976806641
"L16",60.96,-117.33,2018-10-05,2019-04-20,197,9592101,193.255432128906,60.9625015258789,232,324.489837646484,104.871620178223,175.735305786133
"L17",47.12429,-111.006973,NA,NA,180,33571056,1483.2734375,47.1208343505859,210.718338012695,312.537322998047,22.558874130249,116.309684753418
"Bluff Lake",51.747104104179,-124.721361549739,2015-10-15,2016-03-21,158,25557430,936.260009765625,51.7458343505859,224.638565063477,324.118499755859,32.375,117.849403381348
"Churn Creek",51.5236993528733,-122.291170403244,2015-10-21,2016-03-27,158,25947494,433.8232421875,51.5208320617676,171.277893066406,295.608032226562,22.9396781921387,150.869674682617
"CVWMA Under Interp Centre",49.1192,-116.62949,2012-11-06,2013-04-27,172,30105741,552.690124511719,49.1208343505859,143.119415283203,292.053955078125,13.6907720565796,135.073623657227
"Des Belton House",55.207733785112,-129.102313722581,2015-10-28,2016-03-01,125,19565964,61.9896507263184,55.2041664123535,141.808624267578,305.538330078125,14.9331016540527,137.82243347168
"Dividend Mine Vicinity",49.01159,-119.49267,2012-12-01,2013-03-11,100,30293065,520.220581054688,49.0125007629395,135.113372802734,282.952178955078,12.8462934494019,113.220199584961
"Fraser Lake",53.8794474448416,-124.591573306808,2015-09-25,2016-03-30,187,21861830,679.455993652344,53.8791656494141,214,322.343231201172,36.3712196350098,160.68913269043
"Fraser Rock",51.5038805817945,-122.300036321496,2015-10-22,2016-03-29,159,25976364,382.789886474609,51.5041656494141,169.519195556641,294.222137451172,22.3456840515137,150.354507446289
"Gilpin Park Grand Forks",49.01814,-118.33886,2010-12-13,2011-03-04,81,30278768,813.629699707031,49.0208320617676,156.430603027344,297.072418212891,17.8489017486572,123.564002990723
"Hazelton Skeena R",55.2371993791575,-127.672230973548,2014-10-11,2015-04-08,179,19508392,278.114868164062,55.2374992370605,180.818008422852,314.359466552734,26.5029029846191,179.227966308594
"Kasiks",54.29618,-129.3941,2014-10-04,2015-03-16,163,21139453,74.2046203613281,54.2958335876465,125.086463928223,306.491516113281,11.4989862442017,91.5321578979492
"Kaslo 202 B Avenue",49.90903,-116.89984,2013-11-20,2014-03-27,127,28734289,532.148742675781,49.9124984741211,129.005233764648,292.725494384766,11.680962562561,153.964859008789
"Kuskanook",49.30385,-116.66476,2014-12-28,2015-03-04,66,29788145,591.807067871094,49.3041648864746,133.27653503418,290.212677001953,12.2831029891968,139.182495117188
"Lakelse",54.4112594821269,-128.522907881762,2015-11-03,2016-03-05,123,20937454,116.612350463867,54.4124984741211,132.798248291016,306.933563232422,13.3993320465088,122.189727783203
"Lava Beds",55.2158081371048,-129.134397459837,2015-11-21,2016-03-25,125,19551524,40.6340255737305,55.2125015258789,140.12890625,305.398193359375,14.6147918701172,137.194610595703
"Liard Hot Springs",59.4332629391505,-126.104037704194,2015-09-25,2016-04-24,212,12247272,648.830383300781,59.4291648864746,231.845840454102,326.962615966797,76.4914855957031,198.710922241211
"Lillooet Rosebank Mine",50.5203329163404,-121.723830623291,2014-11-26,2015-04-17,142,27679882,615.119873046875,50.5208320617676,146.324523925781,293.604156494141,16.408878326416,135.712783813477
"Lillooet Scallop Roost",50.82596,-121.87617,2014-11-04,2015-04-18,165,27145731,310.254608154297,50.8291664123535,135.5087890625,282.906768798828,13.6250972747803,140.032974243164
"Lillooet Wanderers",50.6268531757595,-121.861855296331,2014-12-09,2015-03-02,83,27492197,316.632385253906,50.6291656494141,133.551116943359,281.971435546875,13.5345010757446,136.115600585938
"Lot48 Columbia Lake NC",50.28064,-115.85341,2013-10-31,2014-03-25,145,28099230,844.822143554688,50.279167175293,195.231491088867,306.251708984375,28.1859436035156,151.98681640625
"Lot48 Columbia Lake NCC",50.28064,-115.85341,2012-09-21,2013-03-26,186,28099230,844.822143554688,50.279167175293,195.231491088867,306.251708984375,28.1859436035156,151.98681640625
"Nass Bridge",55.06196,-129.47214,2014-10-14,2015-03-15,152,19811332,6.36818599700928,55.0625,133.307525634766,312.057189941406,13.0076322555542,121.434394836426
"Next Creek NCC",49.30214,-116.76106,2012-11-17,2013-03-14,117,29788133,555.5322265625,49.3041648864746,137.862121582031,293.849426269531,13.2090101242065,139.15592956543
"Oxbow Park ",49.01531,-118.34883,2011-12-17,2012-03-14,88,30293203,569.335388183594,49.0125007629395,152.170043945312,292.613739013672,16.2639217376709,123.211402893066
"Peachland roost",49.7772683170609,-119.734094830591,2013-10-23,2014-04-19,178,28964924,486.620513916016,49.779167175293,115.786430358887,286.062591552734,10.7278547286987,143.081405639648
"Reclamation House RL",49.08214,-116.58114,2012-11-17,2013-04-27,161,30177927,533,49.0791664123535,142.908752441406,290.393157958984,13.2504215240479,134.232955932617
"Skaha Cave Hill",49.44906,-119.56121,2012-06-15,2012-08-31,77.5,29542385,679.515014648438,49.4458351135254,143.49333190918,296.237945556641,14.3983535766602,130.268997192383
"Skaha Fortress",49.43707,-119.56755,2012-11-16,2013-03-23,127,29556820,487.441223144531,49.4375,125.990859985352,286.427825927734,11.5515966415405,129.878005981445
