Reference,Long,Lat,Mass,Location,Notes
Kunz 1988,-73.038697,43.240711,9.06,Mt. Aerols,From Table 2
Johnson 2016,-110.67,44.93,7.7625,yelowstone,Table 1
McGuire2016,-99.16,53.1,12.56,manatoba,fig2
Kunz 1995,-73.038697,43.240711,9.186011429,Mt. Aerols,fig1
Schowalter 1980,-117.33,53.03,11.20540541,Cadomin,table 2 Cadomin
Mcguire 2009,-76.9,45.3,11.1,Canada,discussion Mcguire 2016
Fenton 1970,-76.9,45.3,10,Renfrew,Renfrew
Fenton 1970,-80.435,47.4018,9.55,Gowganda,Gowganda
Fenton 1970,-81.859,46.29,9.5,Webbwood,webbwood
Fenton 1970,-87.4,48.98,10.3,Schreiber,Schreiber
