Lat,Long,avgMass,Ref,Location
39.40556,-105.47278,8.5,VertNet,1
39.51355303,-121.5574146,7,VertNet,2
39.54398682,-107.7838304,5.9,VertNet,3
39.71815,-96.63371,7.3,VertNet,4
40.41628333,-121.3735146,7,VertNet,5
40.6267,-105.142597,7.7,VertNet,6
42.6664,-77.9604,8.8,VertNet,7
42.685063,-77.959171,6.9,VertNet,8
43.64611,-108.21139,5.1,VertNet,9
43.99014044,-75.93202612,14.5,VertNet,10
44.00700217,-75.98409188,7.35,VertNet,11
44.02795652,-76.04515011,9,VertNet,12
44.38,-108.03833,6.45,VertNet,13
44.53916842,-89.55931843,8.2,VertNet,14
44.79722,-106.95556,6.9,VertNet,15
44.87528,-107.26167,5.4,VertNet,16
45.3,-93.5833333,9.233333333,VertNet,17
47.91291997,-122.0981404,6.45,VertNet,18
48.75953075,-122.4881805,6.725,VertNet,19
57.7641475,-152.5169889,6,VertNet,20
58.33136,-134.59887,6.527272727,VertNet,21
58.3315,-134.59587,6.65,VertNet,22
58.688333,-156.661389,6.75,VertNet,23
59.45198,-135.31701,7.08,VertNet,24
59.452,-135.31702,7.427272727,VertNet,25
59.45799,-135.32916,7.5,VertNet,26
59.50268,-135.2641,8.042857143,VertNet,27
64.84,-147.719,5.6,VertNet,28
64.85539592,-148.04854,5.4,VertNet,29
59.52443731,-112.2208398,8.966666667,WCS Canada,30
60.0516462,-112.6789459,9.913636364,WCS Canada,31
59.73902798,-112.2184442,9.625,WCS Canada,32
59.75191402,-112.2019882,9.940740741,WCS Canada,33
47.12429,-111.006973,8.221621622,SERDP,34
41.814193,-111.6242,6.72,SERDP,35
53.03,-117.33,11.20540541,Schowalter 1980,36
45.3,-76.9,11.1,Mcguire 2009,37
47.4018,-80.435,9.55,Fenton 1970,38
53.1,-99.16,12.56,McGuire2016,39
43.240711,-73.038697,9.06,Kunz 1988,40
43.240711,-73.038697,9.186011429,Kunz 1995,41
45.3,-76.9,10,Fenton 1970,42
48.98,-87.4,10.3,Fenton 1970,43
46.29,-81.859,9.5,Fenton 1970,44
44.93,-110.67,7.7625,Johnson 2016,45
60.2647,-133.3349,11.34,WCS Canada Yukon,46
60.3626,-134.589,8.733333333,WCS Canada Yukon,47
