"ID","lat","long","Start","End","winter.duration","cells","NA_dem","NA_northing","NA_nFrostyDays","NA_nonGrowingDays","NA_nDaysFreeze","NA_frostFreeze","NA_OG1k"
"L1",53.12,-99.19,2018-09-15,2019-05-15,242,23178554,220.133590698242,53.1208343505859,217,310.973541259766,72.9755630493164,144.987777709961,153.685104370117
"L2",51.44,-97.38,2018-09-13,2019-05-15,244,26094843,217.684036254883,51.4375,228.442337036133,313.296051025391,72.8539962768555,150.648162841797,146.009246826172
"L3",53.12,-99.19,2018-09-15,2019-05-15,242,23178554,220.133590698242,53.1208343505859,217,310.973541259766,72.9755630493164,144.987777709961,153.685104370117
"L4",59.752,-112.202,2018-09-15,2019-05-15,242,11685936,259.784729003906,59.7541656494141,227,323.775726318359,94.1620712280273,160.581039428711,180.738265991211
"L5",44.93,-110.67,2018-10-15,2019-04-10,177,37367764,2229.63012695312,44.9291648864746,242.455718994141,327.101013183594,40.9869728088379,141.721343994141,144.733749389648
"L6",38.83,-92.29,NA,NA,83,47937122,223.032531738281,38.8291664123535,145,239.834671020508,7.21772909164429,76.1088638305664,50.4108619689941
"L7",36.61,-83.66,2018-12-04,2019-04-01,118,51778133,724.122009277344,36.6124992370605,143,248.185165405273,4.23378610610962,73.6168899536133,30.8209743499756
"L8",58.3,-134.4,2018-10-24,2019-03-31,158,14209573,365,58.2958335876465,175,333.234527587891,20.687292098999,97.8436431884766,121.092254638672
"L9",61,-135,2018-09-30,2019-04-18,200,9532237,790.083435058594,60.9958343505859,240.843276977539,332.245758056641,72.916259765625,156.879760742188,211.08235168457
"L10",59.6,-133.6,2018-10-15,2019-03-24,160,11943217,1007.06988525391,59.6041679382324,243.323760986328,342.688507080078,59.3573417663574,151.340545654297,195.111907958984
"L11",58.9,-125.8,2018-10-21,2019-04-15,176,13171213,1146.53271484375,58.8958320617676,247.996200561523,340.402282714844,64.6996002197266,156.347900390625,198.544174194336
"L12",59.4,-126.1,2018-10-07,2019-04-07,182,12305017,528.159851074219,59.3958320617676,229.456146240234,324.461364746094,78.5880355834961,154.022094726562,198.821502685547
"L13",60,-111.88,2018-10-15,2019-04-15,182,11267331,205.214202880859,59.9958343505859,228,322.916290283203,96.7422027587891,162.371109008789,184.31916809082
"L14",53.8,-116.5,2018-09-15,2019-05-15,242,22007161,1090.74670410156,53.7958335876465,218,324.669586181641,39.7396430969238,128.869827270508,142.879302978516
"L15",43.24,-73.5104,2018-10-10,2019-05-15,217,40302731,113.560737609863,43.2374992370605,185.70622253418,277.517700195312,20.3696517944336,103.037940979004,102.569976806641
"ID_3",54.3046001046064,-130.338718500933,2015-09-10,2016-04-26,229,21124904,40.2516555786133,54.3041648864746,87.7373886108398,313.648040771484,5.89752149581909,46.817455291748,66.1740264892578
"ID_7",55.207733785112,-129.102313722581,2015-09-12,2016-03-22,192,19565964,61.9896507263184,55.2041664123535,141.808624267578,305.538330078125,14.9331016540527,78.3708648681641,137.82243347168
"ID_9",54.4112594821269,-128.522907881762,2015-09-03,2016-04-08,218,20937454,116.612350463867,54.4124984741211,132.798248291016,306.933563232422,13.3993320465088,73.0987930297852,122.189727783203
"ID_16",49.0951536503541,-119.517884814548,2011-12-16,2012-05-06,142,30148702,448.999237060547,49.095832824707,123.925834655762,278.795715332031,11.3918361663818,67.6588363647461,116.373001098633
"ID_18",49.0951536503541,-119.517884814548,2012-09-28,2013-03-15,168,30148702,448.999237060547,49.095832824707,123.925834655762,278.795715332031,11.3918361663818,67.6588363647461,116.373001098633
"ID_20",49.2998361529767,-119.544494526647,2013-10-05,2014-04-06,183,29802235,395.992828369141,49.2958335876465,116.815765380859,278.897064208984,10.6230640411377,63.7194137573242,124.284599304199
"ID_21",51.5236993528733,-122.291170403244,2015-09-29,2016-04-19,203,25947494,433.8232421875,51.5208320617676,171.277893066406,295.608032226562,22.9396781921387,97.1087875366211,150.869674682617
