type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	isarch	vntype	haslength
PhysicalObject	2018-03-20	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Mammal Collection. Record ID: 6800a0c8-537e-11e6-9649-a4a3446a4726. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/mamm?id=6800a0c8-537e-11e6-9649-a4a3446a4726	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/67hr-z96t		CUMV	Mamm		PreservedSpecimen			{"hind foot length with claw in mm":"8","stomach contents":"full of insects","tail length in mm":"36","total length in mm":"88","tragus length in mm":"11","weight":"7.8","wingspan in mm":"254","ear length from notch":"17","weight unit":"g" }	6800a0c8-537e-11e6-9649-a4a3446a4726	19871	GD-NY-54-75	Guido Dingerkus; M. Huybenxz; J. Mehrer; C. Lopez		female					present	skeleton																		1975-07-05		186	186	1975	7	5	1975-07-05					collecting method: Mistnetted between 12:00 - 3:00am			North America | United States | New York | Sullivan County |  |  |  |	North America				United States	US	New York	Sullivan		Neversink, Camp 4-H Pines	North America | United States | New York | Sullivan County | Neversink, Camp 4-H Pines											41.84747	-74.61943	WGS84	3232									DBCreator	2007-07-13			requires verification																														Myotis lucifugus					Animalia | Chordata | Mammalia | Chiroptera | Vespertilionidae | Myotis	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis		lucifugus		species				ICZN			88	total length	0	7.8	1		female		Cornell University Museum of Vertebrates. CUMV Mammal Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	35720b3e-aded-4b83-b4f1-967f1d457d6a	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	1
PhysicalObject	2018-03-20	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Mammal Collection. Record ID: 681bb618-537e-11e6-9649-a4a3446a4726. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/mamm?id=681bb618-537e-11e6-9649-a4a3446a4726	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/67hr-z96t		CUMV	Mamm		PreservedSpecimen			{"forearm length in mm":"42","hind foot length with claw in mm":"9","tail length in mm":"35","total length in mm":"80","weight":"6.8","weight unit":"g" }	681bb618-537e-11e6-9649-a4a3446a4726	7825	CM 101	C. Mason		male					present	study skin - 1; skull - 1							Span: 9.5'; Rec'd from C Mason.											1946-01-08		8	8	1946	1	8	1946-01-08								North America | United States | New York | Albany County |  |  |  |	North America				United States	US	New York	Albany		Albany, Filtration Plant	North America | United States | New York | Albany County | Albany, Filtration Plant											42.6763	-73.7294	WGS84	896									DBCreator	2008-06-11			requires verification																														Myotis lucifugus					Animalia | Chordata | Mammalia | Chiroptera | Vespertilionidae | Myotis	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis		lucifugus		species				ICZN			80	total length	0	6.8	1		male		Cornell University Museum of Vertebrates. CUMV Mammal Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	35720b3e-aded-4b83-b4f1-967f1d457d6a	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	1
PhysicalObject	2018-03-20	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Mammal Collection. Record ID: 68387ebb-537e-11e6-9649-a4a3446a4726. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/mamm?id=68387ebb-537e-11e6-9649-a4a3446a4726	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/67hr-z96t		CUMV	Mamm		PreservedSpecimen			{"hind foot length with claw in mm":"9","stomach contents":"full of insects","tail length in mm":"40","total length in mm":"92","tragus length in mm":"10","weight":"8.1","wingspan in mm":"266","ear length from notch":"15.5","weight unit":"g" }	68387ebb-537e-11e6-9649-a4a3446a4726	19870	GD-NY-51-75	Guido Dingerkus; M. Huybenxz; J. Mehrer; C. Lopez		female					present	skeleton																		1975-07-05		186	186	1975	7	5	1975-07-05					collecting method: Mistnetted between 12:00 - 3:00am			North America | United States | New York | Sullivan County |  |  |  |	North America				United States	US	New York	Sullivan		Neversink, Camp 4-H Pines	North America | United States | New York | Sullivan County | Neversink, Camp 4-H Pines											41.84747	-74.61943	WGS84	3232									DBCreator	2007-07-13			requires verification																														Myotis lucifugus					Animalia | Chordata | Mammalia | Chiroptera | Vespertilionidae | Myotis	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis		lucifugus		species				ICZN			92	total length	0	8.1	1		female		Cornell University Museum of Vertebrates. CUMV Mammal Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	35720b3e-aded-4b83-b4f1-967f1d457d6a	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	1
PhysicalObject	2018-03-20	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Mammal Collection. Record ID: 683cc7c0-537e-11e6-9649-a4a3446a4726. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/mamm?id=683cc7c0-537e-11e6-9649-a4a3446a4726	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/67hr-z96t		CUMV	Mamm		PreservedSpecimen			{"hind foot length with claw in mm":"10","tail length in mm":"32","total length in mm":"84","ear length from notch":"38" }	683cc7c0-537e-11e6-9649-a4a3446a4726	17655	DCG 208	D. C. Gordon		female					present	study skin - 1; skull - 1							Measurements read, '84-32-10-38-14 (1 x 17)'; Not found 29 Nov, 1994.  Rec'd from DC Gordon.											1950-06-21		172	172	1950	6	21	1950-06-21								North America | United States | New York | Jefferson County |  |  |  |	North America				United States	US	New York	Jefferson		Carthage, 15 mi. NE	North America | United States | New York | Jefferson County | Carthage, 15 mi. NE											44.13175	-75.82228	WGS84	10174									DBCreator	2008-01-11			requires verification																														Myotis lucifugus lucifugus					Animalia | Chordata | Mammalia | Chiroptera | Vespertilionidae | Myotis	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis		lucifugus	lucifugus	subspecies				ICZN			84	total length	0	17	1		female		Cornell University Museum of Vertebrates. CUMV Mammal Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	35720b3e-aded-4b83-b4f1-967f1d457d6a	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	1
PhysicalObject	2018-03-20	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Mammal Collection. Record ID: 68965f49-537e-11e6-9649-a4a3446a4726. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/mamm?id=68965f49-537e-11e6-9649-a4a3446a4726	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/67hr-z96t		CUMV	Mamm		PreservedSpecimen			{"hind foot length with claw in mm":"8","stomach contents":"empty","tail length in mm":"37","total length in mm":"89","tragus length in mm":"10.5","weight":"6.9","wingspan in mm":"253","ear length from notch":"17","weight unit":"g" }	68965f49-537e-11e6-9649-a4a3446a4726	19868	GD-NY-53-75	Guido Dingerkus; M. Huybenxz; J. Mehrer; C. Lopez		female					present	skeleton																		1975-07-05		186	186	1975	7	5	1975-07-05					collecting method: Mistnetted between 12:00 - 3:00am			North America | United States | New York | Sullivan County |  |  |  |	North America				United States	US	New York	Sullivan		Neversink, Camp 4-H Pines	North America | United States | New York | Sullivan County | Neversink, Camp 4-H Pines											41.84747	-74.61943	WGS84	3232									DBCreator	2007-07-13			requires verification																														Myotis lucifugus					Animalia | Chordata | Mammalia | Chiroptera | Vespertilionidae | Myotis	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis		lucifugus		species				ICZN			89	total length	0	6.9	1		female		Cornell University Museum of Vertebrates. CUMV Mammal Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	35720b3e-aded-4b83-b4f1-967f1d457d6a	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	1
PhysicalObject	2018-03-20	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Mammal Collection. Record ID: 68a9ce58-537e-11e6-9649-a4a3446a4726. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/mamm?id=68a9ce58-537e-11e6-9649-a4a3446a4726	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/67hr-z96t		CUMV	Mamm		PreservedSpecimen			{"forearm length in mm":"37","tail length in mm":"33","total length in mm":"92","tragus length in mm":"5","weight":"7.7","weight unit":"g" }	68a9ce58-537e-11e6-9649-a4a3446a4726	12884	RAS 10	J. W. Hudson		female	immature				present	study skin - 1; skull - 1							Measurements read, '92-33-10-14-12'; Donator: J.W.H.											1967-10-13		286	286	1967	10	13	1967-10-13								North America | United States | New York | Livingston County |  |  |  |	North America				United States	US	New York	Livingston		Letchworth State Park	North America | United States | New York | Livingston County | Letchworth State Park											42.6664	-77.9604	WGS84	9662									DBCreator	2008-07-03			requires verification																														Myotis lucifugus					Animalia | Chordata | Mammalia | Chiroptera | Vespertilionidae | Myotis	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis		lucifugus		species				ICZN			92	total length	0	12	1	immature	female		Cornell University Museum of Vertebrates. CUMV Mammal Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	35720b3e-aded-4b83-b4f1-967f1d457d6a	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	1
PhysicalObject	2018-03-20	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Mammal Collection. Record ID: 68b61885-537e-11e6-9649-a4a3446a4726. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/mamm?id=68b61885-537e-11e6-9649-a4a3446a4726	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/67hr-z96t		CUMV	Mamm		PreservedSpecimen			{"forearm length in mm":"41","hind foot length with claw in mm":"9","tail length in mm":"45","total length in mm":"86","weight":"6.4","ear length from notch":"12","weight unit":"g" }	68b61885-537e-11e6-9649-a4a3446a4726	7823	CM 108	C. Mason		male					present	study skin - 1; skull - 1							Span: 241; Rec'd from C Mason.											1946-03-04		63	63	1946	3	4	1946-03-04								North America | United States | New York | Albany County |  |  |  |	North America				United States	US	New York	Albany		Haile's Cave,  John Boyd Thatcher State Park	North America | United States | New York | Albany County | Haile's Cave,  John Boyd Thatcher State Park											42.6643	-74.0203	WGS84	296									DBCreator	2008-03-02			requires verification																														Myotis lucifugus					Animalia | Chordata | Mammalia | Chiroptera | Vespertilionidae | Myotis	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis		lucifugus		species				ICZN			86	total length	0	6.4	1		male		Cornell University Museum of Vertebrates. CUMV Mammal Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	35720b3e-aded-4b83-b4f1-967f1d457d6a	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	1
PhysicalObject	2018-02-28	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Mammal Collection. Record ID: 68c64c30-537e-11e6-9649-a4a3446a4726. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/mamm?id=68c64c30-537e-11e6-9649-a4a3446a4726	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/67hr-z96t		CUMV	Mamm		PreservedSpecimen			{"hind foot length with claw in mm":"9","tail length in mm":"37","total length in mm":"78","tragus length in mm":"8","weight":"5.6","wingspan in mm":"226","ear length from notch":"12","weight unit":"g" }	68c64c30-537e-11e6-9649-a4a3446a4726	18122		Charles M. Dardia		male					present	study skin - 1; skull - 1																		1991-08-25		237	237	1991	8	25	1991-08-25								North America | United States | New York | Tompkins County |  |  |  |	North America				United States	US	New York	Tompkins		Freeville, ~1.2 km SW,  1 Cheryl Lane	North America | United States | New York | Tompkins County | Freeville, ~1.2 km SW,  1 Cheryl Lane											42.507781	-76.359054	WGS84	112									DBCreator	2009-01-02			requires verification																														Myotis lucifugus					Animalia | Chordata | Mammalia | Chiroptera | Vespertilionidae | Myotis	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis		lucifugus		species				ICZN			78	total length	0	5.6	1		male		Cornell University Museum of Vertebrates. CUMV Mammal Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	35720b3e-aded-4b83-b4f1-967f1d457d6a	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	1
PhysicalObject	2018-03-20	https://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Cornell University Museum of Vertebrates. CUMV Mammal Collection. Record ID: 68c74bc3-537e-11e6-9649-a4a3446a4726. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	http://portal.vertnet.org/o/cumv/mamm?id=68c74bc3-537e-11e6-9649-a4a3446a4726	http://grbio.org/cool/i64g-wjcr	http://grbio.org/cool/67hr-z96t		CUMV	Mamm		PreservedSpecimen			{"weight":"4.4","weight unit":"g" }	68c74bc3-537e-11e6-9649-a4a3446a4726	5203	WJHJ 1692	William J. Hamilton Jr.		male	adult				present	skeleton							Rec'd from WJ Hamilton, Jr.											1939-05-05		125	125	1939	5	5	1939-05-05								North America | United States | New York | Tompkins County |  |  |  |	North America				United States	US	New York	Tompkins		Ithaca, Cornell University, Fish Hatchery, Judd Falls Road and Cascadilla Creek	North America | United States | New York | Tompkins County | Ithaca, Cornell University, Fish Hatchery, Judd Falls Road and Cascadilla Creek											42.44127	-76.46632	WGS84	1023									DBCreator	2007-07-25			requires verification																														Myotis lucifugus lucifugus					Animalia | Chordata | Mammalia | Chiroptera | Vespertilionidae | Myotis	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis		lucifugus	lucifugus	subspecies				ICZN						4.4	1	adult	male		Cornell University Museum of Vertebrates. CUMV Mammal Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cumv_mamm (source published on 2018-07-02)	35720b3e-aded-4b83-b4f1-967f1d457d6a	cf9ceb80-9f3d-11da-b791-b8a03c50a862	cbd63@cornell.edu	Casey Dillman	2018-07-02	2018-07-03	2018-01-08	0	0	0	0	0	specimen	0
PhysicalObject	2016-11-16 13:29:44.0	http://creativecommons.org/licenses/by-nc/3.0		http://vertnet.org/resources/norms.html	Denver Museum of Nature & Science. DMNS Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/DMNS:Mamm:10108?seid=1265024. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=dmns_mamm (source published on 2016-06-23)	http://arctos.database.museum/guid/DMNS:Mamm:10108	urn:lsid:biocol.org:col:35013			DMNS	Mammal specimens		PreservedSpecimen			sex=female ? ; tragus length=5 mm; total length=79 mm; tail length=36 mm; hind foot with claw=13 mm; ear from notch=10 mm; weight=6.8 g; forearm length=41 mm	http://arctos.database.museum/guid/DMNS:Mamm:10108?seid=1265024	10108	Field #11121	Collector(s): Colorado Department of Public Health and Environment; Preparator(s): Marilyn Allison	1	female ?						skull						collector number=Field #11121; preparator number=XM.1224	Dried out	http://arctos.database.museum/guid/DMNS:Mamm:10108					<i>Myotis lucifugus carissima</i> (accepted ID) identified by unknown; method: expert					1997-08-25		237	237	1997	08	25	25 August 1997								North America, United States, Colorado, Larimer County	North America				United States		Colorado	Larimer County		Fort Collins	Fort Collins									Meghan L. Truckey		40.58528	-105.08389	World Geodetic System 1984	11148		40.58528/-105.08389			decimal degrees				Meghan L. Truckey	2011-11-15	GeoLocate	GeoLocate	unverified																					A		unknown			expert				Myotis lucifugus carissima					Animalia; Chordata; Mammalia; Chiroptera; Vespertilionidae; Vespertilioninae;	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis		lucifugus	carissima					ICZN			79	total length	0	6.8	0		female ?		Denver Museum of Nature & Science. DMNS Mammal Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=dmns_mamm (source published on 2016-06-23)	5f3463d2-51b6-4a8a-b252-9bab4388934e	a2ef6dd1-8886-48c9-8025-c62bac973cc7	john.demboski@dmns.org	John Demboski	2016-06-23	2017-10-21	no migrator	0	0	0	0		specimen	1
