"batID","siteName","age","sex","forearm","mass","fat","lean","freeWater","totalWater","month","state"
"MYLU21","LCC","A","M",38.2,7.2,1.44,4.59,0.34,4.03,"09","MT"
"MYLU22","LCC","A","M",37.2,7.6,0.97,3.02,0.275,1.575,"09","MT"
"MYLU23","LCC","A","M",37.6,7.9,0.6,3.135,0.265,2.68,"09","MT"
"MYLU24","LCC","A","M",35.4,6.4,1.38,5.34,0.02,4.78,"09","MT"
"MYLU25","LCC","A","M",37.9,8.6,1.88,3.56,0,3.11,"09","MT"
"MYLU26","LCC","A","M",38.4,9.1,2.69,5.59,0.29,4.6,"09","MT"
"MYLU47","LCC","A","F",36.5,6.4,0.96,3.43,0.06,3.17,"09","MT"
"MYLU49","LCC","A","M",37.2,7.7,1.69,5.08,0,4.63,"09","MT"
"MYLU50","LCC","A","M",36.5,7.9,2.19,4.86,0,4.03,"09","MT"
"MYLU51","LCC","A","M",38.1,6.9,0.93,5.1,0,4.54,"09","MT"
"MYLU52","LCC","A","M",38.2,9.7,3.17,4.69,0,4.12,"09","MT"
"MYLU53","LCC","A","M",37.1,9.7,2.8,4.6,0.15,4.19,"09","MT"
"MYLU54","LCC","A","M",36.2,8.9,2.63,4.5,0,3.99,"09","MT"
"MYLU57","LCC","A","M",37.3,9.3,3.16,5.16,0.01,4.53,"09","MT"
"MYLU58","LCC","A","M",36.3,9,2.18,4.54,0.15,4.12,"09","MT"
"MYLU59","LCC","A","M",35.6,7.7,2.19,4.83,0.14,4.27,"09","MT"
"MYLU60","LCC","A","M",36.9,8.6,2.19,4.64,0,4.64,"09","MT"
"MYLU61","LCC","A","M",37.5,8.6,2.14,4.44,0,0.31,"09","MT"
"MYLU62","LCC","A","M",36.4,9.4,2.81,5.66,0,4.76,"09","MT"
"MYLU63","LCC","A","M",38.4,7,1.41,4.06,0.04,3.3,"09","MT"
"MYLU64","LCC","A","M",37.3,9,2.41,4.5,0,2.95,"09","MT"
