Location,SiteID,Water_Type,Ruggedness,Trees,YR,Season,SampMonth,Month3,Week,Species,TotalPassCount,NightCount,AvgPasses_perNight
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,34,BAT,555,4,138.75
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,34,Epfu,121,4,30.25
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,34,Laci,6,4,1.5
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,34,Lano,46,4,11.5
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,34,Myci,34,4,8.5
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,34,Myev,24,4,6
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,34,Mylu,7,4,1.75
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,34,Myth,7,4,1.75
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,35,BAT,2856,7,408
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,35,Epfu,381,7,54.428571
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,35,Laci,13,7,1.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,35,Lano,67,7,9.571428
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,35,Myci,63,7,9
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,35,Myev,110,7,15.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,35,Mylu,13,7,1.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,8,Aug,35,Myth,9,7,1.285714
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,36,BAT,671,7,95.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,36,Epfu,93,7,13.285714
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,36,Laci,6,7,0.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,36,Lano,62,7,8.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,36,Myci,11,7,1.571428
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,36,Myev,45,7,6.428571
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,36,Mylu,5,7,0.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,36,Myth,1,7,0.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,37,BAT,2215,7,316.428571
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,37,Epfu,314,7,44.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,37,Laci,6,7,0.857142
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,37,Lano,44,7,6.285714
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,37,Myci,54,7,7.714285
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,37,Myev,108,7,15.428571
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,37,Mylu,52,7,7.428571
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,37,Myth,4,7,0.571428
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,38,BAT,883,7,126.142857
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,38,Epfu,109,7,15.571428
Absaloka Mine Spring 12,38,Terrestrial,Not Rugged,Trees,2012,Active,9,Sep,38,Laci,2,7,0.285714
