"id","lat","long","nWinterFlights","LDH","lastFall","firstSpring","nMaxEmerging","nMaxSpring","LDE","elevation","winter.duration","spring.diff","fall.diff"
"id_1","48.4845837565324",-123.549922035572,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA
"id_2","48.4845837565324",-123.549922035572,"5",NA,NA,2014-03-24,NA,"31",2014-03-31,NA,NA,-7,NA
"id_3","54.3046001046064",-130.338718500933,"70",2015-09-10,2015-12-07,2016-04-07,"815","577",2016-04-26,"15",229,-19,-88
"id_4","49.3538270721341",-124.508776529327,"2767",NA,NA,2016-03-10,NA,"3809",2016-03-08,"19",NA,2,NA
"id_5","49.2995513454183",-123.134093726229,"109",2015-09-21,2015-12-29,NA,"191",NA,NA,"23",NA,NA,-99
"id_6","55.2158081371048",-129.134397459837,"0",NA,NA,2016-04-21,NA,"37",2016-03-29,"45",NA,23,NA
"id_7","55.207733785112",-129.102313722581,"53",2015-09-12,2015-12-13,2016-03-25,"2985","95",2016-03-22,"55",192,3,-92
"id_8","55.207733785112",-129.102313722581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"id_9","54.4112594821269",-128.522907881762,"3",2015-09-03,2015-11-03,2016-04-26,"56","65",2016-04-08,"72",218,18,-61
"id_10","48.5125168722294",-123.381051183288,"66",2013-08-30,2013-11-12,NA,"172",NA,NA,"98",NA,NA,-74
"id_11","48.3450712024508",-123.548567989067,"146",NA,NA,2013-03-31,NA,"422",2013-05-03,"110",NA,-33,NA
"id_12","57.9005342586088",-131.166876344609,"0",2015-09-05,2015-10-30,2016-03-20,"34","1",NA,"200",NA,NA,-55
"id_13","49.2918175427408",-124.592771516858,"14",NA,NA,2013-03-07,NA,"110",2013-03-08,"214",NA,-1,NA
"id_14","49.7772683170609",-119.734094830591,"5",NA,NA,2013-03-19,NA,"16",2013-03-14,"350",NA,5,NA
"id_15","49.7772683170609",-119.734094830591,"0",NA,2013-10-23,2014-04-20,"4","109",2014-04-30,NA,NA,-10,NA
"id_16","49.0951536503541",-119.517884814548,"282",2011-12-16,2011-12-28,2012-04-20,"12","662",2012-05-06,"359",142,-16,-12
"id_17","49.0951536503541",-119.517884814548,"0",2013-10-12,2013-10-28,NA,"278",NA,NA,NA,NA,NA,-16
"id_18","49.0951536503541",-119.517884814548,"69",2012-09-28,2012-10-26,2013-03-12,"394","61",2013-03-15,NA,168,-3,-28
"id_19","49.2998361529767",-119.544494526647,"0",NA,NA,2013-04-01,NA,"563",2013-03-31,"393",NA,1,NA
"id_20","49.2998361529767",-119.544494526647,"68",2013-10-05,2013-12-26,2014-03-11,"74","491",2014-04-06,NA,183,-26,-82
"id_21","51.5236993528733",-122.291170403244,"4",2015-09-29,2015-12-24,2016-03-09,"499","313",2016-04-19,"394",203,-41,-86
"id_22","50.4164359592922",-126.91709821076,NA,NA,NA,NA,NA,NA,NA,"473",NA,NA,NA
"id_23","59.4332629391505",-126.104037704194,"0",2015-09-17,2015-10-04,2016-05-15,"15","49",2016-05-11,"480",237,4,-17
"id_24","49.181676484794",-119.59175832679,"0",NA,NA,2013-03-13,NA,"24",2013-03-14,"493",NA,-1,NA
"id_25","50.0042986121525",-117.380488053895,"4",NA,NA,2014-04-05,NA,"3",NA,"550",NA,NA,NA
"id_26","51.5038805817945",-122.300036321496,"9",2015-09-29,2015-12-14,2016-04-24,"850","343",2016-04-19,"560",203,5,-76
